Method,Estimate,Std..Error,LCL,UCL
ATE: Crude,2.509960267612561,0.14485796421499392,2.226038657751173,2.793881877473949
ATE: Conditionally Adjusted,2.0160231189320794,0.09904117910684936,1.8219024078826547,2.2101438299815044
ATE: Marginally Standardized,2.0160231189320825,0.11777287401917835,1.785188285854493,2.2468579520096723
ATE: IP Weighted,1.9730269008144934,0.1722086019693767,1.635498040954515,2.3105557606744718
CDM: Structural Transformation,1.7545656400048233,0.11355356430351618,1.5320006539699316,1.977130626039715
CDM: IP Weighted,1.6636818682233419,0.18878130897508552,1.2936705026321742,2.0336932338145095
